Maximum Temperature,Minimum Temperature,Temperature,Precipitation,Soil pH,Relative Humidity,Environmental Condition
36.4,18.1,26.1,0,7.34,68.34,good
35.2,15.4,25.7,0,7.37,56.35,good
36.1,19.6,28.6,3.8,5.61,59.06,good
36.4,22.6,28.4,0,7.25,61.01,good
38.7,19.6,28.9,4.1,5.5,63.55,good
38.7,21.9,28.8,0,6.78,67.03,good
37.7,21.1,29.3,0,5.66,69.56,good
36.2,23.4,28.9,0,6.64,70.66,good
35.1,23,29.5,0,6.85,70.7,good
36.1,24.1,30.1,22.91,6.51,64.7,good
34.1,24.7,29.2,6.1,6.69,72.12,good
35.1,23.6,28.3,108.9,7.26,78.7,good
31.9,22.1,26.5,279.95,6.05,79.87,good
31.1,23.4,28.1,37.97,5.56,72.16,good
32.1,23,28.2,104.24,5.7,70.3,good
31.1,22.1,26.1,239.63,6.11,81.81,good
30.1,21.7,25.9,263.07,5.72,81.87,good
31.1,22.1,27.1,39.66,5.52,75.47,good
31.1,21.9,27.4,41.14,6.81,76.93,good
31.1,22.1,26.9,37.44,5.71,77.32,good
31.1,21.1,27,201.91,6.29,78.38,good
32.1,22.1,27.2,194.73,6.21,77.04,good
32.1,22.2,27.7,24.21,6.47,74.48,good
32.1,22.2,27.9,26.26,5.69,72.4,good
34.1,20.4,27.8,7.6,6.12,73.57,good
32.7,20.4,27.9,13.1,6.61,72.21,good
33.1,21.7,26.9,179.02,5.92,80.66,good
33.1,21.1,27.9,148.6,5.79,79,good
32.1,22.2,27.3,435.78,5.9,83.44,good
34.1,22.2,27.6,179.51,5.55,82.79,good
36.1,19.2,28.9,49,6.58,70.35,good
35.1,14.2,28.8,0,5.65,52.68,good
35.1,12.9,27.8,0,5.64,64.58,good
35.1,14.2,27.3,0,6.17,57.33,good
35.1,11.4,27.6,0,5.89,60.51,good
37.1,12.4,28.2,0,6.11,47.46,good
34.1,12.1,24.8,0,5.67,57.33,good
36.1,11.9,25.6,0,6.61,64.23,good
35.1,13.7,25.7,0,6.52,66.87,good
35.1,8.4,26.1,0,5.89,51.65,good
36.1,15.4,26.6,0,5.85,56.3,good
34.1,19.5,25.6,0,7.45,60.84,good
33.1,6.9,24.5,0,6.15,51.99,good
35.1,12.9,26.1,0,7.44,56.43,good
34.1,9.1,23.6,0,5.66,60.97,good
30.3,7.2,21.7,0,6.58,57.11,good
35.1,8.7,23.8,0,5.53,51.62,good
34.1,12.9,23.9,0,6.94,54,good
37.1,15.2,26.4,0,7.14,54.25,good
36.1,18.2,25.5,0,5.74,55.49,good
33.1,16.9,25.1,0,7.4,50.6,good
36.1,17.8,25.8,0,6.6,50.15,good
38.1,17.4,27.8,5.1,6.61,42.13,good
36.9,15.4,27.4,0,6.54,57.24,good
35.9,20.5,27.4,0,7.48,66.61,good
35.2,21.3,28.4,2.1,7.2,69.28,good
38.1,23.3,29.4,4.1,6.69,52.24,good
39.1,23.3,29.5,2.2,5.8,65.13,good
37.7,20.1,29.7,0,6.16,60.11,good
41.2,23.4,29.1,3.5,6.19,67.1,good
35.1,25.1,29.8,88.1,7.48,70.24,good
34.1,24.9,29.3,0,6.42,68.83,good
34.7,25.7,29.6,0,5.7,63.45,good
33.8,26.3,30,6.9,5.71,69.02,good
33.1,25.9,29.5,11,6.16,68.1,good
33.6,22.4,27.7,131.2,7.04,82.75,good
30.1,22.9,25.6,73.54,5.76,82.19,good
28.4,13.9,24,103.3,7.02,85.52,good
30.1,23.4,26,0.4,6.2,74.07,good
29.7,22.7,25.9,0.1,5.75,73.65,good
29.1,22.1,24.9,4.9,7.09,79.23,good
28.4,21.7,24,17.1,6.5,84.91,good
28.8,20.1,25.1,11,6.11,80.9,good
27.7,21.4,23.1,52.1,6.49,88.82,good
27.1,22.2,23.7,24.2,6.6,85.57,good
27.2,20.7,23.3,8.8,6.27,84.26,good
29.4,19.2,23.5,5.9,5.96,84.76,good
28.4,20.9,23.6,20,6.2,84.41,good
30.9,19.1,24.2,0,5.76,76.35,good
33.1,20.4,27.7,19.7,6.21,67.22,good
35.1,21.7,28.7,54.7,7.42,68.9,good
38.1,22.1,30.6,0,6,60.42,good
38.1,21.2,29.6,2.2,7.45,57.25,good
36.1,22.6,28.6,9.2,5.78,66.6,good
37.1,18.1,28.9,0,5.95,55.56,good
37.1,14.1,27.9,0,7.01,58.17,good
37.1,13.9,28.2,0,6.98,55.85,good
37.1,14.2,28.4,1.2,5.74,60.48,good
36.1,11.7,27.1,0,6.68,53.01,good
35.1,14.4,26.3,0,6.04,57.76,good
36.1,12.2,25.7,0,6.64,62.03,good
35.1,13.4,26.6,0,5.92,54.27,good
36.1,11.1,24.7,0,6.19,62.51,good
31.1,12.4,22.9,0,6.27,62.36,good
29.1,15.9,22.2,0.2,7.24,63.34,good
33.1,10.1,22.9,0,6.21,64.21,good
33.1,14.7,23.9,0,5.67,66.85,good
33.1,11.4,24.4,0,5.54,51.07,good
36.1,10.9,24.7,0,5.67,60.23,good
33.1,14.9,24.4,0,5.9,65.28,good
34.1,14.9,24.8,0,7.06,64.33,good
36.1,14.1,25.5,0,5.85,59.75,good
37.1,15.4,25.9,8,6.66,60.95,good
37.1,16.7,27.9,0,5.72,58.75,good
39.1,14.7,26.5,0,7.25,41.12,good
37.1,14.9,27.2,0,6.93,54.06,good
36.4,13.9,27.1,0,6.71,57.47,good
35.4,21.4,27.9,0,7.41,62.23,good
36.1,19,27.7,0,6.11,66.7,good
35.5,23.1,29.3,1.4,6.61,59.05,good
36.1,19.4,28.5,0,7.18,61.53,good
36.2,21,28.8,0,6.83,66.02,good
38.4,24.1,29.5,0,5.68,64.19,good
40.2,21.7,29.2,0,5.73,61.53,good
35.3,23.9,29.4,0,5.78,66.88,good
35.1,21.7,29.9,0,6.31,64.99,good
36.2,26.1,30.1,0,5.63,61.57,good
36.4,25.4,30.2,0,5.8,62.51,good
35.1,23.4,28.5,133.57,6.44,75.8,good
32.1,21.7,26.7,182.26,6.37,80.5,good
31.1,22.1,26.7,100.72,5.73,81.22,good
31.1,23,26.6,97.6,5.77,79.57,good
32.1,22.4,27.1,226.32,5.89,76.45,good
33.1,23,27.7,144.5,5.65,73.67,good
32.1,23,27.9,97.95,6.08,73.46,good
32.1,22.7,27.9,23.11,6.71,72.71,good
31.1,21.9,25.5,115.52,5.58,81.32,good
32.1,21.4,27.1,221.2,6.8,74.13,good
32.1,20.1,27.3,59.64,6.62,73.44,good
34.1,21.7,26.8,97.94,7.04,73.65,good
32.1,21.7,27.1,22.86,7.49,72.18,good
32.1,20.9,27.1,51.3,6.73,70.29,good
33.1,19.7,27.3,8.2,7.32,69.47,good
32.1,21.6,24.9,50.6,7.4,82.17,good
37.1,20.4,29.1,20.4,5.68,62.44,good
35.1,22.3,28.9,68.3,6.98,63.85,good
38.1,22.3,30,0,6.25,52.13,good
38.1,20.1,28.5,0,6.5,55.49,good
37.1,19.7,29.2,2.1,6.87,52.32,good
38.1,15.4,29.4,0,6.55,54.12,good
37.1,20.2,28.6,0,6.29,51.18,good
36.1,17.3,26.7,0,7.1,61,good
34.1,11.7,24.8,0,6.49,67.02,good
34.1,13.9,25.1,0,6.92,62.36,good
33.1,15.2,23.4,0,6.52,66.68,good
32.1,10.4,21.3,0,6.89,69.32,good
30.1,12.1,21,0,6.27,64.77,good
32.1,15.7,22.5,0,6.79,64.44,good
30.1,11.8,19.7,0,5.82,70.58,good
31.1,12.6,21.6,0,7.37,60.28,good
34.1,11.1,21.7,0,6.05,60.63,good
30.4,11.6,20.4,0,6.74,61.2,good
30.9,12.7,21.3,0,5.97,67.38,good
33.1,12.9,22.1,0,5.6,55.72,good
33.1,14.1,22.5,0,6.93,63.7,good
37.1,14.4,24.1,0,6.35,64.44,good
37.1,15.7,26,0,5.75,56.69,good
40.1,19.6,28.4,0,7.37,47.71,good
41.1,18.4,28.5,0,6.67,47.92,good
41.1,20.4,29.4,0,6.06,53.61,good
37.2,20.2,27.3,0,7.3,63.21,good
35,21.7,27.2,0,7.14,67.93,good
35.6,21.2,27.9,0,6.6,66.6,good
35.2,22.5,28.6,0,5.89,59.34,good
38.4,23.5,29.3,0,6.28,58.3,good
40.2,24.3,29.3,0,6.94,61.09,good
38.1,24.4,30.9,19.65,6.37,57.41,good
34.1,25.1,28.6,20.7,6.46,66.12,good
33.1,24.1,29.4,33,6.09,64.7,good
35.4,24.1,29.9,1.3,6.73,59.85,good
35.3,23,29.9,96.7,6.33,63.36,good
35.1,24.1,28.3,14.7,5.78,65.96,good
30.1,22.7,26.9,257.43,6.77,77.1,good
32.1,23.4,28.7,11.4,5.76,67.65,good
33.1,23,28.3,133.75,6.47,70.23,good
31.1,23,27.6,60.8,6.08,72.13,good
32.1,22.1,27.3,65,6.26,71.07,good
32.1,23,28.1,133.57,6.02,73.58,good
31.1,21.7,25.4,406.61,5.54,85.53,good
31.1,22.1,26.5,446.82,6.73,81.52,good
31.1,22.1,27.2,197.85,5.69,71.11,good
31.1,22.4,26.6,124.73,6.89,71.07,good
32.1,22.1,27.6,29.12,7.15,62.35,good
32.1,19.4,27.9,8.03,7.43,66.1,good
32.1,21.1,27.1,66.68,7.44,79.4,good
32.1,22.4,28,66.7,6.85,73.81,good
34.1,22.2,28,134.16,6.53,77.11,good
33.1,21.7,28.1,60.8,5.64,75.1,good
31.1,21.8,26.7,11,6.59,77.32,good
34.1,19,26.2,0,5.78,65.47,good
36.1,19.1,26.7,0,6.65,50.71,good
37.1,17.2,27.4,0,7.41,56.39,good
35.1,18.3,27,0.95,6.27,59.53,good
36.1,19.2,28.3,11.4,7.17,65.12,good
37.1,17.9,26.6,0,5.66,58.59,good
36.1,15.7,26.3,0,7.12,54.62,good
33.1,11.7,26.6,0,7.43,49.91,good
35.1,14.4,26.5,0,6.99,49.88,good
34.1,13.2,25.9,0,6.41,50.22,good
31.1,10.4,23.5,0,5.79,66.38,good
31.1,13.2,24.8,0,6.5,66.28,good
27.1,17.1,22.7,0,6.45,59,good
34.1,13.2,25.3,0,5.98,58.69,good
31.1,10.4,24.4,0,5.76,57.99,good
32.1,10.4,23.2,0,6.78,46.2,good
30.5,13.4,23.5,6,7.32,55.32,good
33.1,15.1,25.8,4.1,5.72,51.51,good
36.1,14.7,27.6,0,6.92,51.4,good
35.1,16.1,25.9,0,6.91,43.26,good
37.7,14.9,26.1,0,7.38,50.58,good
34.9,17.1,26.2,0,5.91,67.02,good
35.1,16.4,25.7,0.6,5.9,60.06,good
37.1,19.4,28.7,0,6.55,49,good
35.9,20.1,27.7,0,7.12,58.43,good
39.1,21.7,28.6,0,6.05,62.46,good
37.1,21.2,29.6,0,5.77,59.03,good
34.9,22.1,28.7,21.3,6.32,52.73,good
35.7,23.3,29.4,16,5.56,59.77,good
33.9,22.6,28.5,0,5.64,56.6,good
33.6,23.7,28.6,9.3,6.27,53.52,good
34.3,20.1,28.9,0,6.43,52.35,good
35.5,24.1,29.9,0,6.46,60.12,good
35.4,25.4,30.9,16,6.34,50.92,good
34.6,25.9,30.7,6.4,7.03,51.94,good
34.7,27.3,31.5,5,7.06,52.94,good
34.5,23.9,30.7,119.92,5.52,62.15,good
36.4,22.9,26.8,419.2,6.71,73.89,good
31.1,22.9,27,301.47,6.67,79.02,good
31.1,25.8,28.1,46.25,6.36,72.2,good
31.7,23.4,28.5,51,6.38,74.67,good
31.1,23,27.6,195.72,6.97,75.15,good
30.1,22.6,26.7,413.65,5.85,78.81,good
30.1,22.1,26.5,288.98,6.39,79.81,good
30.1,22.7,26.9,18.6,6.81,76.4,good
30.1,22.2,26.5,70.72,6.62,78.36,good
31.1,23.5,27.1,19.27,6.62,74.18,good
31.9,22.9,27.4,132.57,6.4,75.25,good
32.1,22.4,26.7,281.2,7.15,82.38,good
30.1,23,26.8,111.13,7.27,75.99,good
30.1,22.7,26.2,284.81,7.45,80.45,good
30.1,22.4,26.5,80.61,6.9,75.45,good
35.1,23.9,27.8,24.1,6.15,72.6,good
35.1,22.6,28.8,48.1,6.87,61.03,good
33.1,19.2,27.6,0,7.43,69.1,good
33.1,14.9,26.7,14.5,5.94,62.75,good
33.1,13.9,26.2,0,6.94,59,good
34.1,10.1,25.8,0,6.33,48.9,good
34.1,11.9,25.5,0,6.54,52.31,good
35.1,13.4,25.7,0,5.93,52.49,good
32.1,17.7,25.9,0,6.67,53.99,good
33.1,18,26.1,0,6.76,54.8,good
32.1,10.6,24.7,0,6.39,49.4,good
31.1,10.1,22.4,0,6.85,56.03,good
32.1,11.4,23.6,0,7.16,61.36,good
30.1,16.6,22.8,0,6.74,64.64,good
32.1,11.4,23.6,0,6.25,58.76,good
34.1,12.1,25.4,0,6.95,55.77,good
34.1,16.2,25.1,0,6.03,60.07,good
32.1,9.7,23,0,6.43,44.76,good
35.1,10.4,25.9,0,6.67,46.94,good
34.1,12.9,25.9,0,5.51,44.31,good
35.1,16.4,26.2,0,6.91,52.59,good
38.1,19.4,28,0,6.05,48.77,good
33.7,19.2,27.1,0,5.89,51.13,good
31.3,17.4,24.7,14,6.19,70.71,good
34.7,20.2,26.6,0,6.73,68.71,good
36.1,22.5,28.6,0,5.87,58.91,good
37.1,21,28.6,0,6.22,56.05,good
34,21.6,28.1,0,6.75,62.04,good
34.2,23.3,28,0,6.14,63.56,good
34.2,24.2,28.6,0,6.54,61.4,good
33,23.3,28.1,0,6.94,65.35,good
36.1,25.2,29,0,7.41,65.95,good
39.2,25.1,29.4,0,6.73,61.84,good
33.9,26.4,29.6,0,6.41,62.4,good
32.8,24.7,29.9,0.5,6.82,64.78,good
33.1,23.1,27.4,309.16,6.04,75.39,good
31.7,25,28.8,1.2,7.46,67.92,good
32.8,23.7,29.1,45.1,6.88,68.65,good
32.7,22.2,28.2,73.09,7.23,72.84,good
32.1,23,26.9,419.41,6.47,82.84,good
30.1,22.2,26.4,581.37,7.4,81.3,good
30.1,23.7,27.6,25.2,6.08,76.38,good
30.1,22.2,26.6,121.94,6.45,80.32,good
30.1,22.4,26.6,194.24,6.01,79.59,good
29.1,22.1,26.1,329.16,6.86,80.86,good
28.1,22.1,25.8,390.44,6.89,84.64,good
29.1,22.2,25.9,162.27,6.41,83.75,good
29.1,22.9,26.3,43.98,6.64,79.65,good
29.1,21.7,26.4,65.66,6.7,78.19,good
32.1,23.7,27.2,91.27,5.98,76.56,good
31.1,22.6,26.9,156.83,6.39,80.59,good
31.1,21.7,26.7,14.52,6.6,79.7,good
31.1,21.1,27,85.95,6.32,78.57,good
31.1,22.4,27.5,181.7,6.13,78.35,good
35.1,23.8,28.7,4,6.75,70.76,good
35.1,21.4,29.5,0,7.31,59.32,good
35.1,22.4,29,3.1,7.34,51.25,good
34.1,21.2,28.3,14,5.76,60.53,good
33.1,20.7,27.4,13.2,5.55,54.38,good
34.1,16.6,27.6,0,6.38,52.08,good
33.1,21.8,27.6,17,6.89,58.77,good
33.1,18.7,26.9,2,7.04,56.4,good
33.1,16.2,25.9,0,6.55,59.26,good
34.1,14.2,26.2,0,6.33,51.66,good
33.1,14.1,25.3,0,5.72,51.96,good
33.1,15.2,25.3,0,5.98,57.57,good
32.1,14.9,23.7,0,6.91,55.25,good
32.1,14.7,24.5,0,6.58,63.18,good
32.1,13.1,24.4,0,7.21,58,good
34.1,12.7,25.9,0,7.16,57.66,good
35.1,13.9,26.9,0,6.68,51.4,good
30.1,16.2,24.6,0,6.36,71.36,good
31.1,15.1,24.4,0.3,7.15,67.27,good
35.1,15.9,27.4,0,6.47,52.86,good
35.1,18.1,26,0,6.53,60.38,good
36.1,16.7,27.4,0,6.84,48.44,good
37.4,20.6,28.1,0,7.46,53.07,good
35.1,19.4,28,0,7.22,57.61,good
38.1,20.4,29.1,0,5.77,57.67,good
39.1,24.8,30.6,0,5.79,46.81,good
35.3,23.6,29.1,8,5.86,47.15,good
37.4,23.2,29.1,0.4,6.3,46.28,good
35.1,23.2,29.8,0,6.37,41.69,good
40.7,22.9,29.9,2,7.34,41.68,good
33.7,26.1,29.8,0,7.16,68.89,good
34.2,26,30.1,0.3,7.42,68.04,good
34.1,20.6,30.3,0.1,6.77,67.68,good
34.6,25.1,29.9,17.5,5.57,69.51,good
34.1,25.9,30.5,5.9,6.74,73.39,good
33.3,25.1,29.5,45.2,6.01,77.39,good
34.1,22.9,27.6,374.43,5.83,86.37,good
31.1,22.7,27,566.41,6.52,84.35,good
30.1,24.4,27.6,252.5,7.12,73.86,good
31.1,23.7,28,26.27,6.25,77.62,good
31.1,23.7,28.2,28,7.45,75.97,good
32.1,22.4,27.8,166.17,5.66,80.3,good
30.1,22.4,26.8,307.48,6.08,85.28,good
31.1,22.9,27.6,140.36,7.45,80.05,good
30.1,22.9,27.8,38.79,6,78.24,good
31.1,23.9,28,52.9,7.18,78.95,good
30.1,23,27,152.69,5.51,85.25,good
31.1,23,27.5,73.86,6.52,81.78,good
31.1,21.7,28.6,58.5,6.03,74.91,good
31.4,22.7,26.9,214.45,7.38,84,good
31.4,23,27.6,118.44,6.79,82.8,good
32.4,21.2,28.5,0,6.03,73.1,good
36.1,23.7,29.3,3,6.39,67.95,good
36.1,22.1,29.2,0,6.92,51.15,good
36.1,22.1,29.4,0,5.53,45.49,good
35.1,18.4,28.6,13,6.47,68.43,good
35.1,23.7,29.2,0.8,7.34,68.83,good
34.1,19.7,28.1,0,6.18,50.58,good
34.1,14.2,26.6,0,6.68,40.35,good
34.1,13.9,26.7,0,5.9,48.63,good
33.1,13.9,26,0,6.01,52.14,good
33.1,18.2,25.5,0,5.64,61.45,good
36.1,15.4,28,0,6.43,51.45,good
34.1,13.7,25.3,0,6.27,55.34,good
31.1,17.1,24.2,0,6.44,62.22,good
33.1,15.9,24.3,0,5.72,54.51,good
34.1,13.9,25.3,0,7.09,56.17,good
35.1,12.6,25.7,0,7.47,56.37,good
29.7,9.4,21.9,0,5.51,50.72,good
30.9,9.2,22.4,0,6.75,53.08,good
28.4,12.1,19.9,0,6.33,53.28,good
34.1,13.1,25.8,0,6.53,48.43,good
33.4,16.4,25.4,0,7.2,58.59,good
37.1,17.2,27.6,0,5.6,39.58,good
37.1,19.2,27.7,0,6.55,53.69,good
35.7,18.1,27.8,0,6.93,60.8,good
35.5,22.5,28.4,23.5,6.31,59.82,good
34.2,23.4,28,0,6.38,62.87,good
33.2,21.1,27.1,0,7.46,58.21,good
37.1,24,30.2,0,5.98,50.53,good
35.9,24.2,29.7,0,6.27,52.97,good
39.4,22.1,31,0,7.26,52.3,good
36.2,25.4,29.6,0,5.69,65.36,good
34.1,26,29.7,0,6.27,66.18,good
33.7,26,30,0,7.17,65.27,good
34.5,25.9,30.8,3,6.22,66.68,good
34.9,24.7,31.3,0,5.78,65.66,good
35.1,22.7,28.9,358.66,6.46,75.07,good
31.1,23.9,27.3,243.54,6.28,84.93,good
31.1,26.9,29.2,10.4,5.59,76.97,good
31.1,22.4,28.1,66.05,6.89,81.33,good
30.1,22.9,27.6,270.79,7.34,83.08,good
31.1,23.2,28,59.48,7.19,80.74,good
30.4,24.2,28.1,24.2,7.19,80.89,good
30.3,22.2,26.8,300.41,5.56,85.39,good
30.1,22.7,26.8,242.67,6.61,85.72,good
30.1,21.4,26.4,351.28,5.73,86.82,good
29.1,21.9,26.2,213.85,5.66,87.99,good
30.1,20.4,26.8,23.9,7.47,80.19,good
31.1,22.6,27.7,45.32,7.42,78.5,good
31.1,22.2,27.6,86.14,5.5,83.09,good
30.1,23.4,26.6,152.34,6.53,86.63,good
29.1,22.7,26.5,192.93,6.34,84.59,good
31.1,19.9,27.3,0,5.54,73.81,good
31.4,21.6,27.2,8.26,7.49,74.72,good
35.1,21.7,28.4,37,5.7,73.4,good
37.1,22.7,30.7,0,6.2,51.96,good
36.1,19.7,29.5,0,6.19,42.42,good
35.1,15.4,28.1,0,6.25,59.22,good
35.1,16.7,28.1,0,7.22,52.25,good
35.1,14.7,27.6,0,6.1,51.06,good
35.1,18.2,29.1,0.3,6.75,62.1,good
35.1,13.4,27.6,0.1,7.38,49.58,good
35.1,14.2,28.1,22,5.74,61.65,good
34.1,14.1,26.8,0,7.49,60.32,good
35.1,16.9,27.3,0,5.63,53.17,good
33.1,11.2,25.7,0,5.72,54.56,good
31.7,10.4,23.4,0,5.68,56.94,good
32.1,16.1,24.7,0,7.4,62.38,good
32.1,15.2,24.3,0,7.18,59.75,good
33.1,16.2,26.4,0,5.9,54.64,good
35.1,15.2,27.2,0,5.71,47.85,good
33.7,18.7,25.7,0,5.6,52.58,good
32.7,16.9,25,0,5.5,54.49,good
32.2,12.4,24.8,0,7.06,55.21,good
36.1,19.2,28,0,6.19,45.93,good
37.1,15.7,28.4,0,5.55,50.61,good
36.5,16.1,28.6,0,5.66,51.44,good
37.1,18.1,29,2,5.83,52.2,good
36.2,21.9,28.4,0,6.51,58.45,good
37.1,13.2,28.9,0,6.09,59.95,good
40.1,23,30.8,0,7.35,63.65,good
40.1,21.6,31.2,0.4,5.52,45.96,good
37.4,25.3,29.9,0,6.63,63.55,good
39.4,23,30,0,5.59,61.2,good
40.2,21.4,30.1,0,7.26,68.79,good
39.1,21.4,30.1,0,6.54,64.65,good
34.7,25.8,29.9,0,6.47,67.58,good
34.4,27.4,30.3,1,6.89,69.74,good
35.7,26.7,30.2,0,6.34,66.2,good
34.1,25.2,30.8,72,5.65,69.2,good
33.8,27.3,30.6,0,7.03,66.8,good
34.1,25.4,30.4,45.1,5.81,69.73,good
34.1,23.7,27.6,182.46,7.02,81.4,good
31.7,23.4,26.9,263.63,5.78,87.74,good
30.1,23.6,26.9,167.57,6.48,88.48,good
31.1,22.1,27.3,425.18,6.11,86.86,good
30.1,23,27.2,169.22,6.68,86.35,good
30.1,23,27.9,17.62,7.48,83.38,good
30.1,26.1,28.1,7.9,6.59,80.99,good
31.1,23.2,27.9,19.42,7.07,81.22,good
32.1,22.1,27.8,314.1,7.24,82.88,good
30.1,22.7,27.2,116.7,6.66,85.1,good
30.2,22.4,26.8,280.6,6.13,88.02,good
31.1,21.6,27.5,16.3,5.52,83.93,good
32.7,22.4,28.5,22.35,7.24,78.01,good
32.3,23,28.3,66.38,6.62,82.03,good
33.1,21.2,28.4,76.96,7.42,83.81,good
32.1,18.1,27,150.13,6.01,83.16,good
35.1,19.7,29.2,27,5.77,67.84,good
36.1,19.4,29.2,0,5.97,53.76,good
37.1,14.2,29,0,6.69,44.09,good
36.1,13.2,29.7,0,7.43,42.97,good
32.1,22.1,26.1,115.94,7.48,79.82,good
32.1,21.3,26.8,22.9,7.43,74.1,good
34.1,16.2,27.1,0,5.86,65.76,good
32.1,16.2,26,0,5.93,61.71,good
33.1,20.1,26.9,0,7.34,59.84,good
33.1,15.7,26.8,0.3,5.69,63.68,good
34.1,16.2,25.7,0,7.1,51.6,good
31.1,13.7,23.9,0,5.84,51.72,good
33.1,16.9,26.7,0.1,7.16,57.98,good
33.1,12.4,25.6,0,6.53,56.91,good
33.1,17.4,26,0,6.91,54.58,good
33.1,11.7,25.8,0,6.7,50.26,good
33.1,11.4,26,0,6.16,44.19,good
34.1,15.7,26.1,0,7.5,57.6,good
31.8,16.4,25.2,0,6.71,61.65,good
32.2,16.1,26.4,0,6.38,48.24,good
37.1,13.1,26.9,0,6.35,53.48,good
34.5,21.1,27.3,0,7.33,61.37,good
37.1,20.6,29.3,32,6.78,52.77,good
37.7,19.7,28.5,0,5.8,66,good
37.9,22.6,28.5,0,7.05,60.71,good
38.1,22.9,29,0,6.66,59.11,good
39.7,18.9,30.6,0,6.41,45.93,good
40.2,21.2,30.2,0,6.62,64.25,good
36.7,25.4,30.7,0,5.71,64.5,good
37.1,25.1,31.1,2.49,6.49,64.44,good
39.7,26.3,31.1,0.6,5.51,66.43,good
39.9,27,30.8,0,7.32,67,good
37.1,27.5,31.1,0,6.48,71.24,good
36.2,27.5,31.2,0,7.17,68.45,good
34.1,25.1,31,101.6,6.64,68.83,good
33.8,22.7,29.4,149.86,7.29,75.74,good
33.1,22.4,28,219.3,6.64,84.01,good
31.4,22.1,27.7,266.96,7.5,85.21,good
32.1,22.4,27.8,223,7.18,85.97,good
31.1,23,27,314.47,7.26,87.86,good
31.1,23.4,28,187.4,6.18,84.01,good
30.1,23,26.8,349.98,5.94,88.91,good
31.1,22.7,26.6,245.05,6.24,89.23,good
30.1,22.9,27.6,122.86,5.61,84.7,good
30.1,22.6,27.4,62.4,6.57,84.78,good
29.2,23.4,26.3,431.63,5.89,90.55,good
31.1,22.4,27.3,175.68,5.73,88.29,good
30.1,22.2,26.8,291.43,5.88,87.3,good
31.1,22.9,27.1,99.37,5.66,85.16,good
